Reference, Value, Footprint, Datasheet
"D31","LED","LEDs:LED_D3.0mm",""
"D32","LED","LEDs:LED_D3.0mm",""
"D33","LED","LEDs:LED_D3.0mm",""
"D34","LED","LEDs:LED_D3.0mm",""
"D35","LED","LEDs:LED_D3.0mm",""
"D21","LED","LEDs:LED_D3.0mm",""
"D22","LED","LEDs:LED_D3.0mm",""
"D23","LED","LEDs:LED_D3.0mm",""
"D24","LED","LEDs:LED_D3.0mm",""
"D26","LED","LEDs:LED_D3.0mm",""
"D27","LED","LEDs:LED_D3.0mm",""
"D28","LED","LEDs:LED_D3.0mm",""
"D29","LED","LEDs:LED_D3.0mm",""
"D25","LED","LEDs:LED_D3.0mm",""
"D30","LED","LEDs:LED_D3.0mm",""
"D11","LED","LEDs:LED_D3.0mm",""
"D12","LED","LEDs:LED_D3.0mm",""
"D13","LED","LEDs:LED_D3.0mm",""
"D14","LED","LEDs:LED_D3.0mm",""
"D16","LED","LEDs:LED_D3.0mm",""
"D17","LED","LEDs:LED_D3.0mm",""
"D18","LED","LEDs:LED_D3.0mm",""
"D19","LED","LEDs:LED_D3.0mm",""
"D15","LED","LEDs:LED_D3.0mm",""
"D20","LED","LEDs:LED_D3.0mm",""
"D1","LED","LEDs:LED_D3.0mm",""
"D2","LED","LEDs:LED_D3.0mm",""
"D3","LED","LEDs:LED_D3.0mm",""
"D4","LED","LEDs:LED_D3.0mm",""
"D6","LED","LEDs:LED_D3.0mm",""
"D7","LED","LEDs:LED_D3.0mm",""
"D8","LED","LEDs:LED_D3.0mm",""
"D9","LED","LEDs:LED_D3.0mm",""
"D5","LED","LEDs:LED_D3.0mm",""
"D10","LED","LEDs:LED_D3.0mm",""
"R1","220","Discret:R1",""
"R2","220","Discret:R1",""
"R3","220","Discret:R1",""
"R4","220","Discret:R1",""
"R5","220","Discret:R1",""
"IC1","ATMEGA8-P","Housings_DIP:DIP-28_W7.62mm_Socket",""
"P1","ICSP","Connectors:IDC_Header_Straight_6pins",""
"C1","0.1uF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D41","LED","LEDs:LED_D3.0mm",""
"D42","LED","LEDs:LED_D3.0mm",""
"D43","LED","LEDs:LED_D3.0mm",""
"D44","LED","LEDs:LED_D3.0mm",""
"D45","LED","LEDs:LED_D3.0mm",""
"D36","LED","LEDs:LED_D3.0mm",""
"D37","LED","LEDs:LED_D3.0mm",""
"D38","LED","LEDs:LED_D3.0mm",""
"D39","LED","LEDs:LED_D3.0mm",""
"D40","LED","LEDs:LED_D3.0mm",""
"D46","LED","LEDs:LED_D3.0mm",""
"D47","LED","LEDs:LED_D3.0mm",""
"D48","LED","LEDs:LED_D3.0mm",""
"D49","LED","LEDs:LED_D3.0mm",""
"D50","LED","LEDs:LED_D3.0mm",""
"J1","BARREL_JACK","Connectors:BARREL_JACK",""
"SW1","next","Buttons_Switches_THT:SW_TH_Tactile_Omron_B3F-10xx",""
"SW2","prev","Buttons_Switches_THT:SW_TH_Tactile_Omron_B3F-10xx",""
"R6","1k","Discret:R1",""
"R7","1k","Discret:R1",""
